trip_id,run_id,session_key,truck_id,trip_number,load_zone,dump_zone,depart_time_s,arrive_load_s,load_complete_s,depart_load_s,arrive_dump_s,unload_complete_s,travel_to_mine_s,load_wait_s,travel_to_dump_s,unload_wait_s,total_trip_duration_s,cargo_kg,fuel_L,co2_kg
51,4,20260523_134009,2,6,load_zone_25,dump_zone_3,4701.002,4872.102,4875.327,4881.197,5078.802,5082.432,171.1,3.23,197.6,3.63,387.56,1000.0,1.2446,3.335447
52,4,20260523_134009,3,7,load_zone_29,dump_zone_3,4945.247,5103.082,5106.427,5112.097,5280.772,5284.457,157.84,3.34,168.68,3.69,345.51,1000.0,1.1076,2.968329
53,4,20260523_134009,2,7,load_zone_25,dump_zone_3,5088.622,5263.767,5267.262,5272.992,5461.972,5465.277,175.14,3.49,188.98,3.31,382.85,1000.0,1.2265,3.287026
54,4,20260523_134009,3,8,load_zone_29,dump_zone_3,5290.587,5445.357,5448.942,5455.157,5623.857,5627.707,154.77,3.59,168.7,3.85,343.25,1000.0,1.1016,2.952369
55,4,20260523_134009,2,8,load_zone_25,dump_zone_3,5471.537,5640.152,5643.792,5649.677,5840.767,5844.517,168.61,3.64,191.09,3.75,379.24,1000.0,1.2167,3.260687
56,4,20260523_134009,3,9,load_zone_29,dump_zone_3,5634.057,5803.627,5807.152,5812.987,5982.382,5986.037,169.57,3.52,169.39,3.66,358.33,1000.0,1.1478,3.076117
57,4,20260523_134009,2,9,load_zone_25,dump_zone_3,5850.957,6030.367,6033.947,6039.587,6229.987,6233.397,179.41,3.58,190.4,3.41,388.88,1000.0,1.2455,3.338003
58,4,20260523_134009,3,10,load_zone_29,dump_zone_3,5992.287,6139.967,6143.447,6149.422,6326.122,6329.377,147.68,3.48,176.7,3.26,343.34,1000.0,1.101,2.950579
59,4,20260523_134009,2,10,load_zone_25,dump_zone_3,6239.637,6426.872,6430.432,6436.532,6629.087,6632.547,187.24,3.56,192.56,3.46,399.15,1000.0,1.2768,3.421775
60,4,20260523_134009,3,11,load_zone_29,dump_zone_3,6335.882,6477.142,6480.557,6486.922,6659.977,6663.227,141.26,3.41,173.06,3.25,333.85,1000.0,1.0749,2.880658
61,4,20260523_134009,3,12,load_zone_29,dump_zone_3,6664.277,6813.852,6817.267,6823.262,6989.117,6992.642,149.57,3.41,165.86,3.52,329.42,1000.0,1.0593,2.839027
62,4,20260523_134009,3,13,load_zone_29,dump_zone_3,6998.727,7137.472,7140.657,7146.987,7306.512,7309.892,138.74,3.19,159.52,3.38,317.25,1000.0,1.0202,2.734149
63,4,20260523_134009,3,14,load_zone_29,dump_zone_3,7316.112,7450.067,7453.252,7459.227,7622.762,7626.072,133.95,3.19,163.53,3.31,316.18,1000.0,1.0194,2.732018
64,4,20260523_134009,3,15,load_zone_29,dump_zone_3,7632.347,7774.342,7777.637,7783.592,7945.997,7949.357,141.99,3.3,162.41,3.36,323.29,1000.0,1.0401,2.787484
65,4,20260523_134009,2,11,load_zone_25,dump_zone_3,6638.752,8120.352,8123.577,8129.377,8318.177,8321.727,1481.6,3.23,188.8,3.55,1689.18,1000.0,5.1458,13.790703
66,4,20260523_134009,2,12,load_zone_25,dump_zone_3,8327.857,8499.702,8503.062,8509.222,8693.452,8696.817,171.84,3.36,184.23,3.36,375.09,1000.0,1.2042,3.227395
67,4,20260523_134009,3,16,load_zone_24,dump_zone_3,7955.617,8834.757,8838.157,8843.617,8999.892,9003.337,879.14,3.4,156.27,3.44,1053.98,1000.0,3.2276,8.650003
68,4,20260523_134009,3,17,load_zone_24,dump_zone_3,9009.447,9149.142,9152.412,9158.307,9318.987,9322.492,139.69,3.27,160.68,3.51,319.15,1000.0,1.0247,2.746119
69,4,20260523_134009,2,13,load_zone_25,dump_zone_3,8703.047,9143.107,9146.722,9152.412,9364.407,9367.902,440.06,3.61,211.99,3.5,671.09,1000.0,2.0957,5.616587
70,4,20260523_134009,3,18,load_zone_24,dump_zone_3,9328.987,9481.327,9484.877,9490.977,9645.837,9649.417,152.34,3.55,154.86,3.58,326.92,1000.0,1.0486,2.810148
71,4,20260523_134009,2,14,load_zone_25,dump_zone_3,9374.067,9558.687,9562.072,9568.007,9756.432,9759.972,184.62,3.39,188.43,3.54,392.07,1000.0,1.2554,3.364374
72,4,20260523_134009,3,19,load_zone_24,dump_zone_3,9655.732,9797.362,9800.767,9806.112,9964.632,9968.157,141.63,3.41,158.52,3.52,318.74,1000.0,1.0222,2.739409
73,4,20260523_134009,2,15,load_zone_25,dump_zone_3,9766.452,9939.157,9942.587,9948.267,10137.082,10140.417,172.7,3.43,188.82,3.33,380.45,1000.0,1.2187,3.266142
74,4,20260523_134009,3,20,load_zone_24,dump_zone_3,9974.627,10108.767,10112.327,10118.382,10275.992,10279.327,134.14,3.56,157.61,3.33,311.17,1000.0,0.9991,2.677463
75,4,20260523_134009,2,16,load_zone_24,dump_zone_3,10146.777,10279.327,10282.587,10288.287,10444.287,10447.787,132.55,3.26,156.0,3.5,307.37,1000.0,0.9877,2.647049
76,4,20260523_134009,3,21,load_zone_24,dump_zone_3,10285.442,10427.802,10431.317,10437.402,10595.847,10599.517,142.36,3.51,158.44,3.67,320.19,1000.0,1.0265,2.750971
77,4,20260523_134009,2,17,load_zone_24,dump_zone_3,10454.162,10595.562,10599.097,10604.802,10764.917,10768.657,141.4,3.53,160.11,3.74,320.87,1000.0,1.0283,2.755833
78,4,20260523_134009,3,22,load_zone_24,dump_zone_3,10605.602,10747.927,10751.432,10757.242,10916.992,10920.562,142.32,3.51,159.75,3.57,321.05,1000.0,1.0294,2.758671
79,4,20260523_134009,2,18,load_zone_24,dump_zone_3,10774.932,10926.157,10929.437,10934.772,11091.432,11094.932,151.22,3.28,156.66,3.5,326.28,1000.0,1.0454,2.801764
80,4,20260523_134009,2,19,load_zone_27,dump_zone_3,11101.187,11244.637,11247.817,11254.037,11415.922,11419.312,143.45,3.18,161.89,3.39,324.38,1000.0,1.0438,2.797434
81,4,20260523_134009,2,20,load_zone_27,dump_zone_3,11425.677,11556.792,11560.132,11566.287,11730.452,11734.037,131.11,3.34,164.16,3.59,314.72,1000.0,1.0153,2.721135
82,6,20260702_114111,2,1,load_zone_22,dump_zone_22,,62804.852,62807.935,62813.519,62875.019,62878.102,,3.08,61.5,3.08,222.17,1000.0,0.7115,1.906767
83,6,20260702_114111,3,1,load_zone_22,dump_zone_23,,62823.435,62826.519,62831.602,62875.852,62878.935,,3.08,44.25,3.08,223.0,1000.0,0.7183,1.924928
84,6,20260702_114111,1,1,load_zone_26,dump_zone_3,,62787.602,62790.685,62796.269,62921.269,62924.352,,3.08,125.0,3.08,268.42,1000.0,0.876,2.347569
85,6,20260702_114111,2,2,load_zone_22,dump_zone_23,62883.185,62924.269,62927.352,62931.519,63006.769,63009.852,41.08,3.08,75.25,3.08,131.75,1000.0,0.4201,1.125817
86,6,20260702_114111,3,2,load_zone_22,dump_zone_22,62884.269,62920.685,62923.769,62928.435,63008.685,63011.769,36.42,3.08,80.25,3.08,132.83,1000.0,0.4263,1.142398
87,6,20260702_114111,3,3,load_zone_22,dump_zone_23,63013.102,63068.685,63071.769,63077.185,63119.519,63122.602,55.58,3.08,42.33,3.08,110.83,1000.0,0.3569,0.956335
88,6,20260702_114111,2,3,load_zone_22,dump_zone_22,63013.519,63049.852,63052.935,63058.019,63132.685,63135.769,36.33,3.08,74.67,3.08,125.92,1000.0,0.4013,1.07539
89,6,20260702_114111,1,2,load_zone_26,dump_zone_3,62929.602,63031.019,63034.102,63039.769,63166.519,63169.602,101.42,3.08,126.75,3.08,245.25,1000.0,0.8001,2.144229
90,6,20260702_114111,2,4,load_zone_22,dump_zone_23,63140.602,63179.435,63182.519,63187.769,63232.602,63235.685,38.83,3.08,44.83,3.08,99.92,1000.0,0.3228,0.865093
91,6,20260702_114111,3,4,load_zone_22,dump_zone_22,63126.519,63161.602,63164.685,63170.185,63234.435,63237.519,35.08,3.08,64.25,3.08,114.92,1000.0,0.3697,0.990708
92,7,20260702_115808,3,1,load_zone_22,dump_zone_22,,63471.852,63474.935,63479.269,63530.602,63533.685,,3.08,51.33,3.08,217.75,1000.0,0.7005,1.87729
93,7,20260702_115808,2,1,load_zone_22,dump_zone_23,,63483.269,63486.352,63491.102,63533.769,63536.852,,3.08,42.67,3.08,220.92,1000.0,0.7099,1.902571
94,7,20260702_115808,1,1,load_zone_26,dump_zone_3,,63440.185,63443.269,63447.935,63577.685,63580.769,,3.08,129.75,3.08,264.83,1000.0,0.8631,2.313137
95,7,20260702_115808,3,2,load_zone_22,dump_zone_23,63538.852,63586.269,63589.352,63589.602,63633.602,63636.685,47.42,3.08,44.0,3.08,103.0,1000.0,0.3326,0.89132
96,7,20260702_115808,2,2,load_zone_22,dump_zone_22,63541.769,63584.769,63587.852,63591.852,63645.435,63648.519,43.0,3.08,53.58,3.08,111.67,1000.0,0.3598,0.964152
