sim_time_s,zone,trucks_queued,truck_ids,event_type
3213.572,load_zone_26,4,3+1+3+2,ARRIVE_LOAD_ZONE
3381.817,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
3467.342,load_zone_26,2,1+3,ARRIVE_LOAD_ZONE
3532.032,load_zone_26,3,1+3+2,ARRIVE_LOAD_ZONE
3701.892,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
3782.507,load_zone_26,2,1+3,ARRIVE_LOAD_ZONE
3895.147,load_zone_26,3,1+3+2,ARRIVE_LOAD_ZONE
4062.312,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
4105.827,load_zone_26,2,1+3,ARRIVE_LOAD_ZONE
4207.332,load_zone_26,3,1+3+2,ARRIVE_LOAD_ZONE
4369.012,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
4426.982,load_zone_26,2,1+3,ARRIVE_LOAD_ZONE
4525.142,load_zone_26,3,1+3+2,ARRIVE_LOAD_ZONE
4691.467,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
5078.802,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
5623.857,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
5982.382,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
6326.122,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
6659.977,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
6989.117,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
7306.512,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
7622.762,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
7945.997,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
8318.177,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
8693.452,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
8999.892,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
9364.407,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
9756.432,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
10275.992,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
10279.327,load_zone_24,2,3+2,ARRIVE_LOAD_ZONE
10427.802,load_zone_24,2,2+3,ARRIVE_LOAD_ZONE
10595.562,load_zone_24,2,3+2,ARRIVE_LOAD_ZONE
10595.847,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
10747.927,load_zone_24,2,2+3,ARRIVE_LOAD_ZONE
10916.992,dump_zone_3,2,2+3,ARRIVE_DUMP_ZONE
11074.362,load_zone_24,2,2+3,ARRIVE_LOAD_ZONE
11091.432,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
11415.922,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
11730.452,dump_zone_3,2,3+2,ARRIVE_DUMP_ZONE
62787.602,load_zone_26,4,1+3+2+1,ARRIVE_LOAD_ZONE
62804.852,load_zone_22,4,2+1+1+2,ARRIVE_LOAD_ZONE
62823.435,load_zone_22,5,2+1+1+2+3,ARRIVE_LOAD_ZONE
62875.019,dump_zone_22,2,3+2,ARRIVE_DUMP_ZONE
62875.852,dump_zone_23,2,2+3,ARRIVE_DUMP_ZONE
62920.685,load_zone_22,3,1+1+3,ARRIVE_LOAD_ZONE
62921.269,dump_zone_3,2,3+1,ARRIVE_DUMP_ZONE
62924.269,load_zone_22,4,1+1+3+2,ARRIVE_LOAD_ZONE
63006.769,dump_zone_23,2,3+2,ARRIVE_DUMP_ZONE
63008.685,dump_zone_22,2,2+3,ARRIVE_DUMP_ZONE
63031.019,load_zone_26,3,3+2+1,ARRIVE_LOAD_ZONE
63049.852,load_zone_22,3,1+1+2,ARRIVE_LOAD_ZONE
63068.685,load_zone_22,4,1+1+2+3,ARRIVE_LOAD_ZONE
63119.519,dump_zone_23,2,2+3,ARRIVE_DUMP_ZONE
63132.685,dump_zone_22,2,3+2,ARRIVE_DUMP_ZONE
63161.602,load_zone_22,3,1+1+3,ARRIVE_LOAD_ZONE
63166.519,dump_zone_3,2,3+1,ARRIVE_DUMP_ZONE
63179.435,load_zone_22,4,1+1+3+2,ARRIVE_LOAD_ZONE
63232.602,dump_zone_23,2,3+2,ARRIVE_DUMP_ZONE
63234.435,dump_zone_22,2,2+3,ARRIVE_DUMP_ZONE
63440.185,load_zone_26,3,3+2+1,ARRIVE_LOAD_ZONE
63471.852,load_zone_22,3,1+1+3,ARRIVE_LOAD_ZONE
63483.269,load_zone_22,4,1+1+3+2,ARRIVE_LOAD_ZONE
63530.602,dump_zone_22,2,2+3,ARRIVE_DUMP_ZONE
